ticker_id,company_id,ticker
451,244,ASSM3
452,244,ASSM4
453,245,REPA4
454,246,ELEK3
455,246,ELEK4
456,247,EKTR3
457,247,EKTR4
458,248,ELET3
459,1083,EBR
460,248,ELET5
461,248,ELET6
462,1084,EBR.B
463,249,LIPR3
464,250,ELPL3
465,250,ELPL4
466,250,ELPL5
468,252,ELEV3
469,253,ELAT3
470,254,ELUM3
471,254,ELUM4
472,255,EMAE3
473,255,EMAE4
474,256,EBCO3
475,256,EBCO4
476,1085,ERJ
477,257,EMBR3
479,257,EMBR4
480,258,EBTP3
481,258,EBTP4
483,259,ECPR3
484,259,ECPR4
485,260,ENBR3
486,261,ENGI3
487,261,ENGI4
488,261,ENGI11
489,262,ENER3
490,262,ENER5
491,262,ENER6
492,263,ENEV3
493,264,ENG5
494,265,TRIC4
495,266,EPTE4
496,267,EQTL3
497,267,EQTL4
498,267,EQTL11
499,268,ERIC3
500,268,ERIC4
501,269,ESCE3
502,270,BPIA3
503,271,ESTC3
504,271,ESTC4
505,271,ESTC11
506,272,ESTR3
507,272,ESTR4
508,273,ETER3
509,273,ETER4
510,274,EUCA3
511,274,EUCA4
512,275,EVEN3
513,276,PTPA3
514,276,PTPA4
515,277,BAUH3
516,277,BAUH4
517,1086,EXXO34
518,278,EZTC3
519,279,FLCL3
520,279,FLCL5
521,279,FLCL6
522,280,FGUI3
523,280,FGUI4
524,281,FTRX3
525,281,FTRX4
526,1087,FDXB34
527,283,FLBR3
528,283,FLBR4
529,284,FHER3
530,285,FESA3
531,285,FESA4
532,286,CPFL4
533,287,FTSE4
534,288,FBRA3
535,288,FBRA4
536,289,FTSU4
537,290,FTZA4
538,291,FBMC3
539,291,FBMC4
540,1088,FBR
541,292,FIBR3
543,292,VCPA4
544,293,FNCN3
545,294,FLRY3
546,295,CFLU3
547,295,CFLU4
548,1090,FDMO34
549,296,FJTA3
550,296,FJTA4
551,297,BFB3
552,298,FGOS4
553,299,FRAS3
554,299,FRAS4
555,1091,FCXO34
556,300,FRI3
557,300,FRI4
558,1092,GFA
559,301,GFSA3
560,301,GFSA5
561,302,GAZO3
562,302,GAZO4
563,1093,GEOO34
564,303,GSHP3
565,304,AMRI3
566,304,AMRI7
567,304,AMRI8
568,304,AMRI11
569,305,GEPA3
570,305,GEPA4
571,306,EMXS4
572,307,GGBR3
573,1094,GGB
574,307,GGBR4
575,308,GOAU3
576,308,GOAU4
577,309,GLAS4
578,310,GOLL3
579,310,GOLL4
580,1095,GOL
581,1096,GSGI34
582,1097,GOOG34
583,311,GPIV33
584,312,GPCP3
585,313,GRNL3
586,313,GRNL4
587,314,CGRA3
588,314,CGRA4
589,315,GRND3
590,316,GRUC3
591,316,GRUC6
